id,text,category,conf,envase,marca,modelo,tp,medida bolsa (bolsa),medida lt (litro),medida tableta (tableta),medida un (unidad1),medida un2 (unidad2),light,medida gr (gramo),sabor,alvacio,marinado,tamaño
967925,huevo los productores primera blanco caja 180 unidades,,0.2,,,,,,,,,,,,,,,
968999,huevo santa marta primera blanco bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
966048,huevo agrovial blanco primera bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
967732,huevo la granja blanco primera bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
966398,huevo benzzi extra blanco bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
1021038,huevo el yugo blanco extra unidad,,0.4,,,,,,,,,,,,,,,
1021228,huevo - primera unidad,,0.8,,,,,,,,,,,,,,,
1022606,huevo benzi huevo primera blanco unidad,,0.6,,,,,,,,,,,,,,,
1022120,huevo los productores pack primera color 180 unidades,,0.8,,,,,,,,,,,,,,,
1022117,huevo los productores pack primera blanco 180 unidades,,0.6,,,,,,,,,,,,,,,
1023259,huevo - color grande caja de 360 unidades,,0.2,,,,,,,,,,,,,,,
969865,huevo yemita blanco extra bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
966944,huevo copita blanco segunda bandeja de 30 unidades,Verdura Fresca,1.0,,,blanco,,,,,30.0,,,,,,,
966295,huevo arizona color extra bandeja 30 unidades,Salsas Y Condimentos,1.0,,,,,,,,30.0,,,,,,,
966800,huevo codipra blanco extra bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
966801,huevo codipra blanco primera bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
1023033,huevo arizona primera blanco bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
966942,huevo copita blanco extra bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
1181767,huevo santa elvira extra unidad,,0.6,,,,,,,,,,,,,,,
966298,huevo ariztia color extra calibri 61 a 68 bandeja 30 unidades,,0.6,,,,,,,,,,,,,,,
1022609,huevo benzi huevo primera color unidad,,0.8,,,,,,,,,,,,,,,
1021040,huevo geism blanco extra unidad,,0.4,,,,,,,,,,,,,,,
967731,huevo la granja blanco extra bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
1022116,huevo los productores pack extra blanco 180 unidades,,0.4,,,,,,,,,,,,,,,
1022118,huevo los productores pack extra color 180 unidades,Salsas Y Condimentos,1.0,,,,,,,,180.0,,,,,,,
967924,huevo los productores extra color caja 180 unidades,,0.2,,,,,,,,,,,,,,,
1113117,huevo arizona blanco de segunda bandeja 30 unidades,Verdura Fresca,1.0,,,blanco,,,,,30.0,,,,,,,
1023028,huevo arizona extra blanco bandeja 30 unidades,,0.4,,,,,,,,,,,,,,,
1034967,huevo huevo blanco extra caja 180 unidades,,0.2,,,,,,,,,,,,,,,
1022122,huevo los productores pack extra blanco 1800 unidades,,0.4,,,,,,,,,,,,,,,
1022135,huevo los productores primera blanco 3600 unidades,,0.6,,,,,,,,,,,,,,,
1022124,huevo - pack extra blanco 3600 unidades,,0.4,,,,,,,,,,,,,,,
1022126,huevo los productores pack extra color 1800 unidades,Salsas Y Condimentos,1.0,,,,,,,,1800.0,,,,,,,
1022137,huevo los productores primera color 1800 unidades,,0.8,,,,,,,,,,,,,,,
1022134,huevo los productores primera blanco 1800 unidades,,0.6,,,,,,,,,,,,,,,
967923,huevo los productores extra blanco caja 180 unidades,,0.2,,,,,,,,,,,,,,,
967926,huevo los productores primera color caja 180 unidades,,0.2,,,,,,,,,,,,,,,
1022131,huevo los productores pack extra color 3600 unidades,Salsas Y Condimentos,1.0,,,,,,,,3600.0,,,,,,,
969065,huevo sepa 10 pack extra blanco 1800 unidades,,0.4,,,,,,,,,,,,,,,
969063,huevo sepa pack primera blanco 180 unidades,,0.6,,,,,,,,,,,,,,,
966297,huevo arizona color superextra  bandeja 30 unidades,Salsas Y Condimentos,1.0,,,,,,,,30.0,,,,,,,
966400,huevo benzzi segunda blanco bandeja 30 unidades,Verdura Fresca,1.0,,,blanco,,,,,30.0,,,,,,,
1022607,huevo benzzi blanco primera unidad,,0.6,,,,,,,,,,,,,,,
969067,huevo sepa 10 pack primera blanco 1800 unidades,,0.6,,,,,,,,,,,,,,,
969068,huevo sepa 10 pack primera color 1800 unidades,,0.8,,,,,,,,,,,,,,,
969071,huevo sepa 20 pack primera blanco 3600 unidades,,0.6,,,,,,,,,,,,,,,
969069,huevo sepa 20 pack extra blanco 3600 unidades,,0.4,,,,,,,,,,,,,,,
1022136,huevo los productores primera blanco 5400 unidades,,0.6,,,,,,,,,,,,,,,
1022125,huevo los productores pack extra blanco 5400 unidades,,0.4,,,,,,,,,,,,,,,
969062,huevo sepa pack extra color 180 unidades,Salsas Y Condimentos,1.0,,,,,,,,180.0,,,,,,,
